Guid	GameId	Date	GameNumber	DayOfTheWeek	StartTime	DesignerHitterFlag	DayNightFlag	AwayTeamId	HomeTeamId	ParkId	AwayStartPitcherId	HomeStartPitcherId	HomePlateUmpireId	Base1UmpireId	Base2UmpireId	Base3UmpireId	LeftFieldUpireId	RightFieldUmpireId	Attendance	ScorerRecordId	TranslatorRecordId	Inputter	InputTime	Edit Time	HowScored	PitchesEntered	Temperature	WindDirection	WindSpeed	FieldCondition	Precipitation	Sky	Minutes	NumberOfInnings	AwayFinalScore	HomeFinalScore	AwayHits	HomeHits	AwayErrors	HomeErrors	AwayLeftOnBases	HomeLeftOnBases	WinningPitcher	LosingPitcher	SavePitcher	GameWinningRbi	AwayBatter1	AwayBatter1FieldPosition	AwayBatter2	AwayBatter2FieldPosition	AwayBatter3	AwayBatter3FieldPosition	AwayBatter4	AwayBatter4FieldPosition	AwayBatter5	AwayBatter5FieldPosition	AwayBatter6	AwayBatter6FieldPosition	AwayBatter7	AwayBatterFieldPosition	AwayBatter8	AwayBatter8FieldPosition	AwayBatter9	AwayBatter9FieldPosition	HomeBatter1	HomeBatter1FieldPosition	HomeBatter2	HomeBatter2FieldPosition	HomeBatter3	HomeBatter3FieldPosition	HomeBatter4	HomeBatter4FieldPosition	HomeBatter5	HomeBatter5FieldPosition	HomeBatter6	HomeBatter6FieldPosition	HomeBatter7	HomeBatter7FieldPosition	HomeBatter8	HomeBatter8FieldPosition	HomeBatter9	HomeBatter9FieldPosition	AwayFinishingPitcher	HomeFinishingPitcher
AD2B2F4C-7B12-4EBB-9DB9-00564DE13F0F	CIN201604230	20160423	0	Saturday	710	F	N	CHN	CIN	CIN09	lackj001	strad003	hicke901	estam901	demud901	lentn901	NULL	NULL	41660	NULL	NULL	NULL	NULL	NULL	1	1	64	4	9	0	0	1	199	9	5	13	7	15	2	1	11	3	woodb004	lackj001	NULL	NULL	fowld001	8	heywj001	9	bryak001	7	rizza001	3	zobrb001	4	montm001	2	baezj001	5	russa002	6	lackj001	1	cozaz001	6	suare001	5	vottj001	3	philb001	4	brucj001	9	mesod001	2	duvaa001	7	sches001	8	strad003	1	richc002	cingt001
4A9AB46B-ABEF-424F-83AE-005BC1F8FE21	CIN201605200	20160520	0	Friday	755	F	N	SEA	CIN	CIN09	iwakh001	strad003	hallt901	randt901	belld901	hamaa901	NULL	NULL	20435	NULL	NULL	NULL	NULL	NULL	1	1	59	8	7	2	4	0	190	9	8	3	10	8	0	0	8	7	iwakh001	woodb004	NULL	NULL	martk001	6	smits002	7	canor001	4	cruzn002	9	seagk001	5	linda001	3	iannc001	2	martl004	8	iwakh001	1	cozaz001	6	hamib001	8	vottj001	3	philb001	4	brucj001	9	suare001	5	duvaa001	7	barnt001	2	strad003	1	peraj002	diazj005
22FBFF5B-BEAC-429E-B715-0083D5671A8A	MIL201609210	20160921	0	Wednesday	710	F	N	PIT	MIL	MIL06	kuhlc001	nelsj004	laynj901	wendh902	basnt901	gibsh902	NULL	NULL	25482	NULL	NULL	NULL	NULL	NULL	1	1	75	0	0	4	1	5	171	9	4	1	9	7	0	1	7	6	kuhlc001	nelsj004	watst001	NULL	fraza001	7	bellj005	3	mccua001	8	polag001	9	freed001	5	cervf001	2	rodrs002	4	mercj002	6	kuhlc001	1	villj001	5	genns001	4	cartc002	3	santd002	7	pereh001	9	pinam001	2	arcio002	6	reedm001	8	nelsj004	1	watst001	suteb001
E5CE7D9C-FCC9-4414-8685-009D0FA7780D	PHI201605180	20160518	0	Wednesday	108	F	D	MIA	PHI	PHI13	koeht001	hellj001	rippm901	westj901	fleta901	basnt901	NULL	NULL	29579	NULL	NULL	NULL	NULL	NULL	1	1	64	8	9	0	0	0	149	9	2	4	6	8	1	0	2	8	hellj001	koeht001	gomej002	NULL	dietd001	4	realj001	2	yelic001	7	stanm004	9	ozunm001	8	bourj002	3	johnc003	5	rojam002	6	koeht001	1	lougd001	9	hernc005	4	blana001	6	howar001	3	franm004	5	ruppc001	2	goedt001	7	hellj001	1	bourp001	8	urenj001	gomej002
24C74928-83E4-4BC0-B5CD-00D08E773ED2	OAK201609230	20160923	0	Friday	637	T	N	TEX	OAK	OAK01	hamec001	gravk001	mealj901	conrc901	morag901	nauep901	NULL	NULL	26367	NULL	NULL	NULL	NULL	NULL	1	1	64	3	12	0	0	1	139	9	3	0	4	7	0	0	2	7	hamec001	gravk001	dysos001	NULL	gomec002	7	desmi001	8	beltc001	10	belta001	5	odorr001	4	lucrj001	2	morem001	3	mazan001	9	andre001	6	semim001	6	eibnb001	8	healr001	5	davik003	7	valed001	3	vogts001	2	smolj002	9	nuner001	10	pindc001	4	dysos001	smitc002
E84F2C24-FF02-4E94-90C4-00D8FC4FFCBB	PHI201609140	20160914	0	Wednesday	707	F	N	PIT	PHI	PHI13	braus002	thomj007	porta901	morag901	kellj901	tumpj901	NULL	NULL	16112	NULL	NULL	NULL	NULL	NULL	1	1	88	3	8	0	0	0	177	9	2	6	9	15	2	0	8	9	thomj007	braus002	gomej002	NULL	fraza001	7	bellj005	3	mccua001	8	polag001	9	freed001	5	rodrs002	4	mercj002	6	fryee001	2	braus002	1	hernc005	4	quinr003	8	franm004	5	joset001	3	ruppc001	2	galvf001	6	altha001	9	goedt001	7	thomj007	1	leblw001	gomej002
533C7C43-904E-47D9-92A1-01250BE0FB3C	TBA201605280	20160528	0	Saturday	411	T	D	NYA	TBA	STP01	pinem001	moorm003	laynj901	wendh902	morag901	gibsh902	NULL	NULL	20188	NULL	NULL	NULL	NULL	NULL	1	1	72	0	0	4	1	5	195	9	5	9	12	13	0	0	9	7	moorm003	pinem001	NULL	NULL	ellsj001	8	hicka001	7	beltc001	9	rodra001	10	casts001	4	ackld001	3	headc001	5	gregd001	6	romia002	2	guyeb001	7	millb002	6	longe001	5	pears001	4	morrl001	3	souzs001	9	dickc002	10	mahtm001	8	congh001	2	cessl001	coloa001
B0F76B17-87F6-4B01-BE7D-013A6AD4AF0D	MIN201607170	20160717	0	Sunday	140	T	D	CLE	MIN	MIN04	tomlj001	gibsk002	rackd901	marqa901	vanol901	guccc901	NULL	NULL	25692	NULL	NULL	NULL	NULL	NULL	1	1	81	2	16	0	0	2	166	9	6	1	13	6	0	0	7	7	tomlj001	gibsk002	NULL	NULL	santc002	10	kipnj001	4	lindf001	6	napom001	3	ramij003	5	chisl001	9	naqut001	8	almoa001	7	gomey001	2	nunee002	5	grosr001	10	vargk001	3	dozib001	4	keplm001	9	rosae001	7	escoe001	6	suzuk001	2	santd001	8	adama001	ramin001
56EFE095-A69D-425A-AC56-01797CD5BBA4	BOS201604280	20160428	0	Thursday	710	T	N	ATL	BOS	BOS07	chacj001	buchc001	fleta901	rippm901	westj901	danlk901	NULL	NULL	32232	NULL	NULL	NULL	NULL	NULL	1	1	50	1	13	0	0	0	202	9	5	3	12	10	2	0	10	9	chacj001	buchc001	vizca001	NULL	markn001	9	castd001	5	garca004	10	freef001	3	piera001	2	franj004	7	petej002	4	aybae001	6	smitm007	8	bettm001	9	pedrd001	4	bogax001	6	ortid001	10	ramih003	3	shawt001	5	younc004	7	bradj001	8	vazqc001	2	vizca001	hembh001
71893F77-2556-40B9-A1B7-01D8EFE37C6F	BOS201604210	20160421	0	Thursday	135	T	D	TBA	BOS	BOS07	odorj001	pricd001	hoyej901	fairc901	joycj901	basnt901	NULL	NULL	37954	NULL	NULL	NULL	NULL	NULL	1	1	61	5	13	0	0	2	256	9	12	8	15	15	3	1	12	12	ramie004	cuevw001	coloa001	NULL	forsl001	4	guyeb001	7	longe001	5	pears001	3	jennd002	10	souzs001	9	beckt001	6	kierk001	8	casac001	2	bettm001	9	pedrd001	4	bogax001	6	ortid001	10	ramih003	3	shawt001	5	holtb002	7	vazqc001	2	bradj001	8	coloa001	ramin002
