player_id,player_name,at_bat,rbi_average,hit_average,line_average,ground_average,fly_average,strikeout_average,lineup_position
bourp001,Peter Bourjos,1840,0.081,0.2429,0.1228,0.4179,0.2223,0.2603,9         
avilm001,Mike Aviles,2923,0.102,0.2621,0.1711,0.4057,0.3052,0.1399,2         
frazt001,Todd Frazier,2871,0.147,0.2504,0.1954,0.2915,0.2814,0.2417,6         
dysoj001,Jarrod Dyson,1365,0.074,0.2601,0.1465,0.5128,0.1795,0.1897,9         
chisl001,Lonnie Chisenhall,1839,0.1272,0.2626,0.2001,0.3208,0.2904,0.2012,8         
stubd001,Drew Stubbs,2812,0.1006,0.2436,0.1277,0.3236,0.2187,0.3425,1         
napom001,Mike Napoli,4147,0.1635,0.2515,0.1321,0.2715,0.2906,0.3147,4         
ozunm001,Marcell Ozuna,1856,0.1277,0.2651,0.1956,0.3658,0.2042,0.2403,5         
escoy001,Yunel Escobar,4963,0.0983,0.2831,0.1749,0.4971,0.2162,0.1275,1         
holtb002,Brock Holt,1317,0.0926,0.2718,0.2073,0.4442,0.1625,0.2058,1         
polla001,A.J. Pollock,1439,0.1042,0.2926,0.2133,0.4267,0.2078,0.164,1         
machm001,Manny Machado,2458,0.1265,0.2844,0.1977,0.3751,0.2559,0.1831,2         
peraj001,Jhonny Peralta,6545,0.1334,0.2674,0.1716,0.3453,0.2752,0.2196,6         
middw001,Will Middlebrooks,1112,0.1367,0.2284,0.1673,0.3049,0.2581,0.2797,7         
descd001,Daniel Descalso,1658,0.1031,0.2419,0.19,0.3896,0.2364,0.2075,8         
castj006,Jason Castro,2018,0.1051,0.2324,0.1764,0.3023,0.2225,0.3077,8         
trumm001,Mark Trumbo,3167,0.1632,0.2513,0.1554,0.3227,0.257,0.2703,5         
ruizc001,Carlos Ruiz,3414,0.1183,0.266,0.1924,0.4048,0.2815,0.135,8         
santc002,Carlos Santana,3423,0.1484,0.2474,0.17,0.3491,0.2816,0.2098,4         
flowt001,Tyler Flowers,1548,0.1182,0.2319,0.1505,0.2978,0.2022,0.3585,8         
wallb001,Brett Wallace,1284,0.1075,0.2375,0.1542,0.3045,0.2087,0.3364,6         
kierk001,Kevin Kiermaier,1202,0.0932,0.2579,0.1872,0.3968,0.2263,0.1997,8         
abrej003,Jose Abreu,1793,0.1718,0.2995,0.2158,0.3698,0.2008,0.2209,3         
suzuk001,Kurt Suzuki,4191,0.1238,0.2555,0.1866,0.3811,0.3207,0.1291,8         
panij002,Joe Panik,1115,0.1049,0.2798,0.2368,0.4242,0.2448,0.1094,2         
hardj003,J.J. Hardy,5551,0.1196,0.2582,0.1528,0.3893,0.307,0.1643,2         
jacka001,Austin Jackson,3573,0.0879,0.2718,0.1928,0.3501,0.2133,0.2583,1         
gutif001,Franklin Gutierrez,2975,0.1187,0.2571,0.1405,0.3563,0.2797,0.2417,2         
gomec002,Carlos Gomez,3910,0.1159,0.2565,0.1517,0.3506,0.2573,0.2555,1         
polag001,Gregory Polanco,1397,0.1224,0.2527,0.2248,0.3558,0.2169,0.214,1         
rodra001,Alex Rodriguez,7994,0.203,0.2907,0.1162,0.3207,0.2803,0.2242,4         
plout001,Trevor Plouffe,2638,0.1353,0.2468,0.1725,0.326,0.2926,0.2206,5         
