Player,Years_ontour,Tournaments_Won ,Main_Draw_Tournaments_Played,Prize_Money
Serena Williams,24,95,318,84463131
Venus Williams,25,61,411,39900489
Maria Sharapova,18,39,273,37029476
Victoria Azarenka,16,26,286,28431189
Agnieska Radwanksa,14,22,411,27199285
Caroline Wozniacki,13,29,383,26834694
Martina Hingis,28,107,559,24749074
Kim Clijsters,23,90,591,24442340
Svetlana Kuznetsova,18,31,614,24200700
Petra Kvitova,12,55,270,24040818
Lindsay Davenport,12,147,306,22166338
Steffi Graf,20,245,673,21895227
Martina Navratilova,35,301,723,21626089
Justine Henin,17,49,292,20863335
Garbine Muguruza,11,10,344,15516622
Kristine Flipkens,16,3,601,3813714
Anna Kournikova,9,17,272,3584662
Christina Mchale,11,3,401,3374518
Kiki Bertens,13,13,463,3358436
Iveta Melzer,13,23,597,3329488
Alicia Molik,15,10,530,3185805
Nicole Vaidisova,14,8,256,2778619
Heather Watson,9,6,401,2769024
Marina Erakovic,14,9,554,2605274
Camila Giorgi,12,1,307,2425082
Karin Knapp,15,2,501,2283203
Magui Serna,11,8,401,2065291
Billie Jean King,16,45,245,1966487
Urszula Radwanska,13,1,370,1887910
Rita Grande,13,9,501,1858558
Donna Vekic,8,2,237,1681773
Laura Robson,11,2,211,1583310
Nicole Gibbs,12,0,348,1403986
Katrina Adams,13,18,391,1292658
Greta Arn,24,2,493,1081529
Camille Pin,15,10,394,980663
Taylor Townsend,8,19,156,976649
Nao Hibino,8,2,233,955417
Louisa Chirico,6,3,153,952142
Tina Pisnik,10,5,233,931077
Sue Barker,10,5,301,878701
Rika Hiraki,14,11,371,852103
Olivia Rogowska,13,15,372,824290
Julie Coin,19,11,394,816036
Sandra Kloesel,15,13,330,653396
Sachia Vickery,9,3,195,624723
Meike Babel,7,1,188,546800
Chen Liang,14,5,305,483380
Alize Lim,12,3,360,460903
Tara Moore,13,7,345,426265
Louise Allen,11,6,127,319367
Ana Savic,15,5,124,70834
Daniela Kix,9,3,121,70031
Evelyn Mayr,9,3,199,69580
Shannon Golds,9,2,155,67786
Gabriela Pantuckova,8,10,140,58542
Mia Buric,7,5,180,57475
Sophie Chang,6,6,136,49306
Jelena Simic,10,11,201,48348
Jean Okada,10,3,186,47961
Lara Michel,10,9,106,46627
Flavia Mignola,10,17,168,42312
Lucy Brown,9,6,167,41803
Maya Kato,11,2,184,37551
Sofia Luini,10,7,221,35772
Amy Jensen,8,8,74,34867
Stacey Tan,6,1,30,18826
Quinn Gleason,5,5,60,18544
Diana Marcu,7,2,145,18259
Anna Orlik,9,6,39,16320
Josipa Bek,14,9,60,16055
Pia Cuk,6,4,59,15736
Melody Falco,9,6,80,15558
Ellah Nze,7,3,54,14823
Tiffany Eklov,9,0,55,14517
Yi Yang,11,1,79,14426
Alicia Pillay,9,2,96,14375
Eva Raszkiewicz,7,1,126,14222
India Maggen,9,0,130,13767
Karis Ryan,7,0,69,13327
Kana Daniel,9,0,54,9513
Aimee Gibson,6,0,62,8767
Rui Du,13,0,35,8651
Anna Gabric,5,0,46,8296
Ana Gaspar,6,1,49,6808
Emily Fanning,8,1,26,6494
Monica Acosta,5,1,78,6320
Katia Sabate,6,1,49,6160
Elisa Salis,5,2,53,6021
Emma Lene,4,1,41,5818
Renata Dias,9,0,63,5753
Essi Laine,6,1,62,5498
Ivana Horvat,4,0,81,5345
Helen Park,4,0,15,5175
Cindy Dock,4,0,30,3773
Anna Ureke,3,0,11,3490
Eva Wang,3,0,15,2850
Valeria Dag,4,0,23,2835
Masa Marc,4,0,21,2055
Rebecca Ehn,3,0,20,1678
Maria Fonte,3,0,16,1595
Chu Chu,3,0,14,1462
Olga Blank,4,0,23,1423
Line Ekner,4,0,31,1241
Laura Gordon,3,0,15,1079
Rocio Macri,3,0,20,996
Mariah Plauth,3,0,12,945
Lisa Mays,2,0,3,795
Ali Collins,2,0,9,706
Hwa Lee,2,0,6,688
Katie Le,2,0,3,686
Joanna Carlson,2,0,11,650
Kim Rus,3,0,13,637
Jana Jais,2,0,8,596
Anna Novo,2,0,11,594
Gabriella Bongiovanni,1,0,8,526
Michelle Pang,3,0,21,494
Vanessa Basora,3,0,11,487
Mila Saric,2,0,7,467
Elena Silina,2,0,8,391
Daniella Cozzi,3,0,9,370
Ji Lee,2,0,3,358
Camilla Fabbri,1,0,3,347
Helga Jeske,2,0,7,344
Davina Meza,2,0,6,330
Lina Sachica,2,0,8,319
Abby Wright,2,0,0,316
Julie Chao,2,0,3,294
Diana Woodcock,2,0,3,294
Vicky Navia,2,0,6,275
Neesha Thirumalaichelvam,1,0,1,265
Camille Dubois,3,0,4,264
Amy Goff,1,0,2,250
Maria Nieto,2,0,4,250
Mika Misgav,2,0,9,247
Ines Maia,2,0,2,224
Duygu Ocak,1,0,1,134
Savanna Ly,1,0,0,133
Ann Hahn,1,0,0,126
Jan Bardot,1,0,2,125
Diana Mills,1,0,4,125
Laura Rincon,1,0,4,123
Barbar Zanetti,1,0,0,122
Saray Pino,1,0,1,121
Ellen Svensson,1,0,3,121
